AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-2021,Marketing Managers,detailed,5750,3.5,0.19,2,58.56,121800,2.2,27.27,37.66,51.06,73.72,96.62,56720,78340,106210,153330,200960,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2022,Sales Managers,detailed,190,3.4,0.01,1,47.18,98120,2.4,29.82,36.32,43.90,51.71,64.32,62030,75540,91300,107570,133780,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-2022,Sales Managers,detailed,50,10.2,0.00,,55.66,115770,3.8,31.61,37.50,52.15,69.72,77.93,65750,77990,108470,145010,162090,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-2022,Sales Managers,detailed,2200,7.5,0.07,1,59.75,124270,3.1,34.28,40.86,52.93,74.23,93.51,71300,84990,110090,154390,194500,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2030,Public Relations and Fundraising Managers,broad,4190,0.6,0.21,8,54.80,113980,0.7,30.60,38.16,49.23,63.16,82.05,63650,79370,102390,131380,170660,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-2030,Public Relations and Fundraising Managers,broad,1710,2.5,0.02,2,55.44,115320,1.1,36.50,43.36,52.54,63.92,77.91,75930,90180,109290,132960,162060,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-2030,Public Relations and Fundraising Managers,broad,9690,1.7,0.32,3,59.57,123910,1.0,30.52,39.28,51.19,72.61,98.55,63490,81700,106470,151020,204980,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2032,Public Relations Managers,detailed,2480,0.8,0.13,7,53.67,111630,0.5,30.59,37.98,48.98,62.93,80.82,63620,79000,101880,130890,168100,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-2032,Public Relations Managers,detailed,1290,3.1,0.02,1,55.74,115940,1.0,37.08,44.80,53.03,63.73,77.91,77120,93180,110300,132560,162060,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-2032,Public Relations Managers,detailed,4000,2.4,0.13,1,56.31,117130,1.4,29.91,38.04,48.76,64.38,90.40,62210,79130,101410,133920,188040,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2033,Fundraising Managers,detailed,1710,0.4,0.09,5,56.44,117400,1.0,30.84,38.49,49.43,64.47,85.40,64150,80060,102810,134100,177630,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-2033,Fundraising Managers,detailed,420,3.3,0.01,,54.53,113420,1.7,34.64,40.55,50.85,65.51,77.09,72050,84330,105780,136260,160350,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-2033,Fundraising Managers,detailed,5680,1.7,0.19,2,61.87,128690,1.4,31.41,40.86,55.13,77.32,101.48,65330,84990,114660,160820,211080,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3000,Operations Specialties Managers,minor,31060,0.5,1.58,21,53.27,110810,0.4,30.39,38.45,49.03,62.63,80.63,63200,79980,101980,130270,167710,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3000,Operations Specialties Managers,minor,38260,1.6,0.48,23,54.64,113650,0.7,31.08,39.72,50.80,64.82,80.38,64650,82620,105660,134830,167200,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3000,Operations Specialties Managers,minor,46790,1.3,1.54,10,62.56,130120,0.5,30.36,39.42,52.67,75.13,99.65,63160,81990,109560,156270,207260,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3010,Administrative Services and Facilities Managers,broad,11090,0.4,0.57,16,46.93,97610,0.4,28.23,31.21,40.05,53.61,71.49,58710,64930,83310,111500,148710,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3010,Administrative Services and Facilities Managers,broad,13670,2.9,0.17,12,51.04,106160,1.0,29.02,37.64,48.39,62.50,78.68,60370,78290,100650,130000,163650,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3010,Administrative Services and Facilities Managers,broad,15630,1.2,0.51,5,50.37,104760,0.9,26.22,33.46,46.56,61.71,80.82,54540,69610,96850,128360,168110,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3012,Administrative Services Managers,detailed,7610,0.3,0.39,13,46.39,96490,0.4,26.82,30.69,39.11,51.54,72.65,55790,63840,81350,107200,151100,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3012,Administrative Services Managers,detailed,7500,5.3,0.09,7,53.45,111170,1.7,29.17,37.98,49.79,65.35,81.98,60670,79010,103570,135930,170510,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3012,Administrative Services Managers,detailed,10650,1.8,0.35,4,50.99,106060,0.8,27.23,33.63,47.07,61.99,80.98,56640,69950,97910,128930,168430,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3013,Facilities Managers,detailed,3470,0.8,0.18,10,48.11,100070,0.4,29.39,37.40,47.10,58.65,67.69,61120,77790,97960,122000,140800,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3013,Facilities Managers,detailed,6170,2.6,0.08,6,48.12,100080,2.1,28.78,37.34,46.91,58.79,71.73,59870,77670,97560,122280,149200,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3013,Facilities Managers,detailed,4980,2.2,0.16,2,49.03,101990,1.4,25.03,32.77,45.67,60.95,79.61,52060,68170,94990,126770,165600,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3020,Computer and Information Systems Managers,broad,7730,0.6,0.39,14,57.79,120200,0.5,37.95,44.84,50.64,64.18,81.47,78930,93270,105320,133480,169450,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3020,Computer and Information Systems Managers,broad,8120,2.5,0.10,8,56.50,117510,2.9,35.45,41.66,51.23,63.80,78.60,73740,86660,106560,132690,163490,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3020,Computer and Information Systems Managers,broad,10160,1.4,0.33,3,72.84,151520,1.8,37.43,47.41,62.19,79.78,102.31,77860,98620,129350,165950,212800,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3021,Computer and Information Systems Managers,detailed,7730,0.6,0.39,14,57.79,120200,0.5,37.95,44.84,50.64,64.18,81.47,78930,93270,105320,133480,169450,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3021,Computer and Information Systems Managers,detailed,8120,2.5,0.10,8,56.50,117510,2.9,35.45,41.66,51.23,63.80,78.60,73740,86660,106560,132690,163490,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3021,Computer and Information Systems Managers,detailed,10160,1.4,0.33,3,72.84,151520,1.8,37.43,47.41,62.19,79.78,102.31,77860,98620,129350,165950,212800,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3030,Financial Managers,broad,6900,0.9,0.35,15,59.75,124270,0.4,36.03,40.78,51.09,66.17,88.68,74950,84810,106260,137640,184450,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3030,Financial Managers,broad,7840,1.8,0.10,8,57.53,119670,0.7,34.81,45.09,55.63,67.67,81.92,72400,93800,115710,140760,170390,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3030,Financial Managers,broad,12710,2.1,0.42,4,70.53,146690,0.6,35.69,47.17,62.33,81.90,,74230,98120,129650,170340,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3031,Financial Managers,detailed,6900,0.9,0.35,15,59.75,124270,0.4,36.03,40.78,51.09,66.17,88.68,74950,84810,106260,137640,184450,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3031,Financial Managers,detailed,7840,1.8,0.10,8,57.53,119670,0.7,34.81,45.09,55.63,67.67,81.92,72400,93800,115710,140760,170390,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3031,Financial Managers,detailed,12710,2.1,0.42,4,70.53,146690,0.6,35.69,47.17,62.33,81.90,,74230,98120,129650,170340,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3050,Industrial Production Managers,broad,50,0.6,0.00,,54.61,113580,1.2,32.70,39.60,48.00,65.44,80.67,68020,82360,99840,136100,167790,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3050,Industrial Production Managers,broad,90,2.1,0.00,,25.54,53120,2.3,15.54,18.20,18.20,31.47,43.32,32310,37850,37850,65450,90100,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3050,Industrial Production Managers,broad,100,23.0,0.00,,62.78,130580,8.2,30.79,40.64,51.56,83.92,,64050,84530,107240,174560,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3051,Industrial Production Managers,detailed,50,0.6,0.00,,54.61,113580,1.2,32.70,39.60,48.00,65.44,80.67,68020,82360,99840,136100,167790,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3051,Industrial Production Managers,detailed,90,2.1,0.00,,25.54,53120,2.3,15.54,18.20,18.20,31.47,43.32,32310,37850,37850,65450,90100,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3051,Industrial Production Managers,detailed,100,23.0,0.00,,62.78,130580,8.2,30.79,40.64,51.56,83.92,,64050,84530,107240,174560,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3060,Purchasing Managers,broad,700,0.9,0.04,4,51.42,106960,0.5,30.98,38.40,47.70,60.15,78.28,64440,79880,99220,125120,162810,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3060,Purchasing Managers,broad,720,4.8,0.01,1,52.50,109210,1.1,38.20,44.14,50.32,60.82,70.26,79450,91800,104670,126510,146150,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3060,Purchasing Managers,broad,420,1.9,0.01,,57.88,120390,0.8,32.95,41.77,51.06,66.15,82.82,68530,86880,106210,137600,172270,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3061,Purchasing Managers,detailed,700,0.9,0.04,4,51.42,106960,0.5,30.98,38.40,47.70,60.15,78.28,64440,79880,99220,125120,162810,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3061,Purchasing Managers,detailed,720,4.8,0.01,1,52.50,109210,1.1,38.20,44.14,50.32,60.82,70.26,79450,91800,104670,126510,146150,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3061,Purchasing Managers,detailed,420,1.9,0.01,,57.88,120390,0.8,32.95,41.77,51.06,66.15,82.82,68530,86880,106210,137600,172270,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3070,"Transportation, Storage, and Distribution Managers",broad,360,1.8,0.02,2,45.97,95620,0.5,25.64,31.24,45.96,51.30,64.83,53330,64990,95600,106710,134840,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3070,"Transportation, Storage, and Distribution Managers",broad,2250,3.7,0.03,2,43.30,90070,1.4,25.71,31.67,41.00,50.51,62.17,53470,65870,85270,105060,129310,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3070,"Transportation, Storage, and Distribution Managers",broad,290,5.4,0.01,,49.25,102450,3.5,25.20,30.58,42.70,55.11,89.94,52410,63610,88820,114620,187080,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3071,"Transportation, Storage, and Distribution Managers",detailed,360,1.8,0.02,2,45.97,95620,0.5,25.64,31.24,45.96,51.30,64.83,53330,64990,95600,106710,134840,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2250,3.7,0.03,2,43.30,90070,1.4,25.71,31.67,41.00,50.51,62.17,53470,65870,85270,105060,129310,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3071,"Transportation, Storage, and Distribution Managers",detailed,290,5.4,0.01,,49.25,102450,3.5,25.20,30.58,42.70,55.11,89.94,52410,63610,88820,114620,187080,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3110,Compensation and Benefits Managers,broad,240,4.2,0.01,2,54.08,112480,1.1,32.82,38.74,48.74,64.60,81.40,68260,80570,101370,134360,169310,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3110,Compensation and Benefits Managers,broad,330,8.2,0.00,,52.22,108610,1.5,35.54,40.55,50.22,60.80,73.60,73920,84340,104460,126460,153090,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3110,Compensation and Benefits Managers,broad,300,3.7,0.01,,59.15,123040,0.8,36.05,41.61,56.97,76.14,83.68,74980,86540,118490,158370,174040,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3111,Compensation and Benefits Managers,detailed,240,4.2,0.01,2,54.08,112480,1.1,32.82,38.74,48.74,64.60,81.40,68260,80570,101370,134360,169310,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3111,Compensation and Benefits Managers,detailed,330,8.2,0.00,,52.22,108610,1.5,35.54,40.55,50.22,60.80,73.60,73920,84340,104460,126460,153090,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3111,Compensation and Benefits Managers,detailed,300,3.7,0.01,,59.15,123040,0.8,36.05,41.61,56.97,76.14,83.68,74980,86540,118490,158370,174040,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3120,Human Resources Managers,broad,3080,0.6,0.16,11,53.33,110930,0.4,33.54,39.29,47.68,62.08,79.77,69760,81720,99170,129120,165920,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3120,Human Resources Managers,broad,4740,2.8,0.06,5,63.58,132240,0.7,39.72,48.90,62.12,77.20,88.89,82620,101710,129210,160570,184900,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3120,Human Resources Managers,broad,4230,3.0,0.14,2,61.88,128710,1.3,33.44,43.52,57.69,76.86,95.43,69560,90530,119990,159870,198490,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3121,Human Resources Managers,detailed,3080,0.6,0.16,11,53.33,110930,0.4,33.54,39.29,47.68,62.08,79.77,69760,81720,99170,129120,165920,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3121,Human Resources Managers,detailed,4740,2.8,0.06,5,63.58,132240,0.7,39.72,48.90,62.12,77.20,88.89,82620,101710,129210,160570,184900,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3121,Human Resources Managers,detailed,4230,3.0,0.14,2,61.88,128710,1.3,33.44,43.52,57.69,76.86,95.43,69560,90530,119990,159870,198490,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3130,Training and Development Managers,broad,900,0.6,0.05,4,46.85,97460,0.8,30.02,32.87,39.17,52.15,71.90,62430,68370,81480,108470,149550,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3130,Training and Development Managers,broad,500,5.0,0.01,1,53.77,111850,1.5,34.43,43.66,52.67,62.14,73.16,71610,90810,109550,129250,152180,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3130,Training and Development Managers,broad,2940,4.2,0.10,1,60.68,126210,1.8,32.38,39.42,51.16,65.94,97.44,67340,82000,106400,137160,202680,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3131,Training and Development Managers,detailed,900,0.6,0.05,4,46.85,97460,0.8,30.02,32.87,39.17,52.15,71.90,62430,68370,81480,108470,149550,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-3131,Training and Development Managers,detailed,500,5.0,0.01,1,53.77,111850,1.5,34.43,43.66,52.67,62.14,73.16,71610,90810,109550,129250,152180,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-3131,Training and Development Managers,detailed,2940,4.2,0.10,1,60.68,126210,1.8,32.38,39.42,51.16,65.94,97.44,67340,82000,106400,137160,202680,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-9000,Other Management Occupations,minor,101830,0.3,5.19,67,55.81,116090,0.4,29.77,37.91,48.49,63.71,91.09,61930,78850,100860,132510,189480,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-9000,Other Management Occupations,minor,273260,0.5,3.43,87,51.62,107380,0.4,31.91,38.82,49.00,62.18,76.50,66370,80750,101920,129320,159130,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-9000,Other Management Occupations,minor,163490,0.6,5.39,28,49.42,102800,0.5,24.03,30.58,40.17,59.77,80.28,49980,63600,83550,124320,166970,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,200,5.8,0.01,1,34.57,71900,1.0,23.12,28.91,31.32,37.92,50.32,48090,60120,65150,78880,104670,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,110,23.7,0.00,,23.51,48900,4.7,14.97,20.69,22.41,27.16,29.59,31140,43040,46610,56500,61550,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,200,5.8,0.01,1,34.57,71900,1.0,23.12,28.91,31.32,37.92,50.32,48090,60120,65150,78880,104670,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,110,23.7,0.00,,23.51,48900,4.7,14.97,20.69,22.41,27.16,29.59,31140,43040,46610,56500,61550,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-9020,Construction Managers,broad,730,0.8,0.04,3,50.90,105880,0.6,34.45,38.64,49.11,60.78,69.28,71650,80370,102140,126430,144110,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-9020,Construction Managers,broad,570,4.1,0.01,,54.51,113380,0.7,38.06,44.99,51.41,63.45,75.29,79160,93580,106940,131970,156610,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-9020,Construction Managers,broad,310,3.9,0.01,,60.28,125380,1.6,35.34,41.79,56.54,67.98,86.81,73510,86920,117600,141400,180560,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-9021,Construction Managers,detailed,730,0.8,0.04,3,50.90,105880,0.6,34.45,38.64,49.11,60.78,69.28,71650,80370,102140,126430,144110,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-9021,Construction Managers,detailed,570,4.1,0.01,,54.51,113380,0.7,38.06,44.99,51.41,63.45,75.29,79160,93580,106940,131970,156610,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-9021,Construction Managers,detailed,310,3.9,0.01,,60.28,125380,1.6,35.34,41.79,56.54,67.98,86.81,73510,86920,117600,141400,180560,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-9030,Education and Childcare Administrators,broad,83960,0.4,4.28,65,57.25,119080,0.4,30.10,38.17,48.89,64.36,99.27,62600,79390,101680,133860,206490,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-9030,Education and Childcare Administrators,broad,258450,0.5,3.25,87,52.02,108200,0.4,33.85,38.97,49.14,62.29,76.68,70410,81050,102220,129560,159490,,
